GEO.id,GEO.id2,GEO.display-label,D001,D002,D003,D004,D005,D006,D007,D008
Id,Id2,Geography,Total:,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Two or More Races
1000000US421010002001027,421010002001027,"Block 1027, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",304,109,5,0,176,1,2,11
1000000US421010002001028,421010002001028,"Block 1028, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",14,0,0,0,14,0,0,0
1000000US421010002001029,421010002001029,"Block 1029, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001030,421010002001030,"Block 1030, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",2,1,0,0,1,0,0,0
1000000US421010002001031,421010002001031,"Block 1031, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",195,2,1,0,189,0,2,1
1000000US421010002001032,421010002001032,"Block 1032, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",29,0,0,0,28,0,0,1
1000000US421010002001033,421010002001033,"Block 1033, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",133,8,0,0,125,0,0,0
1000000US421010002001034,421010002001034,"Block 1034, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",205,16,0,0,187,0,0,2
1000000US421010002001035,421010002001035,"Block 1035, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",54,2,0,0,49,0,1,2
1000000US421010002001036,421010002001036,"Block 1036, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001037,421010002001037,"Block 1037, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",211,138,7,0,59,0,2,5
1000000US421010002001038,421010002001038,"Block 1038, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001039,421010002001039,"Block 1039, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",191,94,12,0,83,0,1,1
1000000US421010002001040,421010002001040,"Block 1040, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001041,421010002001041,"Block 1041, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",211,3,0,0,208,0,0,0
1000000US421010002001042,421010002001042,"Block 1042, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",81,16,0,0,64,0,1,0
1000000US421010002001043,421010002001043,"Block 1043, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",280,90,5,0,176,0,2,7
1000000US421010002001044,421010002001044,"Block 1044, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",6,0,0,0,6,0,0,0
1000000US421010002001045,421010002001045,"Block 1045, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001046,421010002001046,"Block 1046, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
1000000US421010002001047,421010002001047,"Block 1047, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",10,0,0,0,10,0,0,0
1000000US421010002001048,421010002001048,"Block 1048, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",21,6,4,0,11,0,0,0
1000000US421010002001049,421010002001049,"Block 1049, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",356,58,241,3,36,0,12,6
1000000US421010002001050,421010002001050,"Block 1050, Block Group 1, Census Tract 2, Philadelphia County, Pennsylvania",0,0,0,0,0,0,0,0
